# ALTERS Enemy Faction — All Types and Behavior (Part 2)

== Normal Enemies ==
=== Aelio Region ===
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
Banehog | • North Aelio • West Aelio • Vanford Labratory Ruins • Resol Forest | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | ALTERS that resemble blue hedgehogs. Despite their lumbering appearance, Banehogs can quickly cover distances either by running or through utilizing their Spin Dash Attack. Additionally, Banehogs can also attack with lumbering claw swipes and energy quills released from their backs.
Evil Angelo | • Central Aelio • West Aelio • Aelio Region Combat Sectors | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | ALTERS that resemble harpies. Usually attacks with energy projectiles released from its wings. Can also fire a ball of light from their mouths, which can inflict Panic.
Heruc | • West Aelio • Mt. Magnus • Resol Forest | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Elk-esque ALTERS that will attempt to mow down targets with a charge. They can also swipe at targets with their tails, or perform a stomp attack to damage nearby ARKS Defenders.
Lizard Fray | • Central Aelio • West Aelio • North Retem • West Retem • Aelio Region Combat Sectors | Alts Soul Alts Secreta | - | Weak to: | Small ALTERS that resemble bipedal lizards. Attacks with fire projeciles, which can inflict Burn. They can also attack close-range targets by flashing the membrane within their arms to inflict Stun. Enhanced during Clear Skies .
Lizard Ice | • Central Aelio • West Aelio • Vanford Laboratory Ruins • Resol Forest | Alts Soul Alts Secreta | - | Weak to: | Small ALTERS that resemble bipedal lizards. Attacks with ice projeciles, which can inflict Freeze. They can also attack close-range targets by flashing the membrane within their arms to inflict Stun.
Lizard Thunder | • West Aelio • North Aelio • Aelio Region Combat Sectors | Alts Soul Alts Secreta | - | Weak to: | Small ALTERS that resemble bipedal lizards. Attacks with thunder projeciles, which can inflict Shock. They can also attack close-range targets by flashing the membrane within their arms to inflict Stun. Enhanced during Thunderstorms .

=== Retem Region ===
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
Crowpa | • Central Retem • Retem Alnothe | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | ALTERS that slither along the ground, using their massive claws to attack. They can pounce from a distance, or even release long-distance energy slashes from their claws.
Glasneg | • North Retem • South Retem • Retem Alnothe | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Serpentine ALTERS that will always remain partially submerged in the ground. Can fire rocks and beams of sand from its mouth, as well as rise from the ground underneath targets.
Kerogero | • South Retem • West Retem • Rwh Maqead • Retem Alnothe | Alts Soul Alts Secreta | - | Weak to: | Small ALTERS that can spit projectiles at ARKS Defenders.
Lizard Fray | • Central Aelio • West Aelio • North Retem • West Retem • Aelio Region Combat Sectors | Alts Soul Alts Secreta | - | Weak to: | Small ALTERS that resemble bipedal lizards. Attacks with fire projeciles, which can inflict Burn. They can also attack close-range targets by flashing the membrane within their arms to inflict Stun. Enhanced during Clear Skies .
Mumidog | • Central Retem • North Retem • South Retem • Retem Alnothe | Alts Soul Alts Secreta | - | Weak to: | Quadruped ALTERS that swim through the ground to ambush ARKS Defenders. They are also capable of launching blade-like energy projectiles. Diving Attacks can force a swimming Mumidog to immediately submerge, temporarily disabling it.
Roufin Bear | • Central Retem • North Retem • Retem Alnothe | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Eerie, bear-like ALTERS that will attempt to rush any ARKS Defender it spots. Attacks with slashes from its claws, and energy projectiles from its core.
Savinehog | • North Retem • West Retem • Retem Alnothe | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Retem variants of Banehogs. Shares all of their attacks with their Aelio counterparts, with the addition of a new Spin Jump Attack.
Sval Angelo | • North Retem • Rwh Maqead • Retem Alnothe | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Retem Variants of Evil Angelos. Possesses the same attacks, despite being noticably smaller.
Svaruc | • South Retem • West Retem • Rwh Maqead • Retem Alnothe | Alts Soul Alts Secreta | • Core (weakpoint) | Weak to: | Retem Variants of Herucs. Possesses the same attacks, despite being noticably smaller.

=== Kvaris Region ===
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
