# DOLLS Enemy Faction — All Types and Behavior (Part 2)

== Normal Enemies ==
=== Aelio Region ===
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
Fuwan | • Central Aelio • North Aelio • Aelio Region Combat Sectors • Neusen Plant (Green) | Dolz Soul | - | Weak to: | Weaker DOLLS that slowly float around an area. Although they can launch a projectile attack, they require much time to charge it.
Tinos | • Central Aelio • South Aelio • Aelio Region Combat Sectors • Neusen Plant (Green) | Dolz Soul | - | Weak to: | Weaker DOLLS that walk on two legs. Can attack with kicks and headbutts.
Dotts | • South Aelio • Aelio Region Combat Sectors • Neusen Plant (Green) | Dolz Soul | • Flank Cannons (x4) • Core (weakpoint) | Weak to: | Enemies capable of spotting and attacking targets from a great distance with powerful projectiles. Their legs are susceptible to Physical Downs, and the entirety of their body is vulnerable to Elemental Downs. Despite its size, it has deceptively low endurance.
Gororon | • South Aelio (Veteran Nogleth) • North Aelio • Aelio Region Combat Sectors • Neusen Plant (Green) | Dolz Soul | • Belly • Belly Core (weakpoint) • Back Core (weakpoint) | Weak to: | Sturdy enemies who can effortlessly block attacks with their bellies. Possesses a vulnerable core on its back. Attacks with energy projectiles, slams, and a rolling attack--the latter of which temporarily leaves its belly in a destructible state. Freezing the belly with Ice attacks also forces this destructible state. Destroying the belly exposes another attackable core.
Gororox | • Aelio Region Combat Sectors • Neusen Plant (Green) | Dolz Soul | • Belly • Belly Core (weakpoint) • Back Core (weakpoint) | Weak to: | Enhanced Gororon variants that possess all of the same attacks, as well as weaknesses. Additionally, it can abosrb attacks directed at its belly, and release the energy in the form of a powerful explosion.
Pettas Axe | • South Aelio (Veteran Daityl Axe) • North Aelio • Mt. Magnus • Vanford Laboratory Ruins (Emergency Trials) • Resol Forest (Emergency Trials) • Neusen Plant (Green) | Dolz Soul Koukloziat Rod (Lv. 31+) | • Chest Armor • Core (weakpoint) | Weak to: | Humanoid DOLLS units that wield an axe. Possesses all of the same moves as a Pettas Sword, in addition to a overhead chop attack.
Pettas Gun | • Central Aelio • South Aelio • West Aelio (Veteran Oruq) • Aelio Region Combat Sectors • Neusen Plant (Green) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Humanoid DOLLS units that wield a rifle. Attacks by shooting at targets, occasionally repositioning to maintain distance. Can swing its rifle as a melee attack. Breaking the armor protecting their chests exposes their vulnerable core, and allows for attacks to stagger them.
Pettas Launcher | • North Aelio (Veteran Bujin) • Vanford Laboratory Ruins • Mt. Magnus (Emergency Trials) • Resol Forest (Emergency Trials) • Neusen Plant (Green) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Humanoid DOLLS units that wield a launcher. Attacks in a similar manner as Pettas Guns, but with a slower rate of fire. Also possesses a charge shot attack.
Pettas Sword | • Central Aelio • South Aelio • West Aelio (Veteran Nex Aelio) • Aelio Region Combat Sectors • Neusen Plant (Green) | Dolz Soul | • Chest Armor • Core (weakpoint) | Weak to: | Humanoid DOLLS units that wield a sword. Attacks by swinging its sword, as well as by extending its elastic arm for a long-range stab. Breaking the armor protecting their chests exposes their vulerable core, and allows for attacks to stagger them.
Pettax Axe | • Mt. Magnus • Vanford Laboratory Ruins (Emergency Trials) • Resol Forest (Emergency Trials) • Neusen Plant (Green) | Pettas Soul | • Chest Armor • Core (weakpoint) | Weak to: | Enhanced Pettas Axe variants. Possesses slightly more endurance, but attacks with the same moves.
