# NPC Ronaldine — Profile, Role and Services (Part 2)

Sections in this file: Ronaldine's Looping Tasks

== Ronaldine's Looping Tasks ==
=== Aelio Relentless Training ===
The following tasks become available when the player has unlocked Neusen Plant in the Stia region.
Ronaldine's Looping Tasks (Aelio)
Task Name | Objectives | Rewards | Description
Aelio Relentless Training 1-I | Defeat FORMERS Units (Lv.70 or Greater) (0/300) | First Clear: N-EX-Cube x5 Second Clear: C/Ael Note A x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing FORMERS in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [1] ] Recommended Sector: Mt. Magnus (Rank 5 or higher)
Aelio Relentless Training 1-II | Defeat Gara Garongos (Lv.70 or Greater) (0/30) Defeat Volgas (Lv.70 or Greater) (0/50) Defeat Dindos (Lv.70 or Greater) (0/30) | First Clear: C/Magnus Note x10 C/Lab Note x10 C/Resola Note x10 Second Clear: C/Ael Note B x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [2] ] Recommended Sector: Mt. Magnus (Rank 5 or higher)
Aelio Relentless Training 1-III | Defeat ALTERS Megalotix (Lv.70 or Greater) (0/100) | First Clear: C/Daityl Soul IV x10 C/Pettas Soul IV x10 C/Nex Soul IV x10 Second Clear: C/Ael Note C x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [3] ] Recommended Sector: Mt. Magnus (Rank 5 or higher)
Aelio Relentless Training 1-IV | Defeat Boss Enemies (Lv.70 or Greater) at Mt. Magnus (0/20) | First Clear: B-Trigger/Common Yellow x15 B-Trigger/Common Purple x15 Second Clear: C/Ael Note D x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [4] ] Recommended Sector: Mt. Magnus (Rank 5 or higher)
Aelio Relentless Training 1-V | Defeat Herzigs (Lv.70 or greater) (0/3) | First Clear: 50 Star Gems Second Clear: B-Trigger/Common Yellow x5 B-Trigger/Common Purple x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Starless in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [5] ] Recommended Sector: Mt. Magnus (Rank 5 or higher)
Aelio Relentless Training 2-I | Defeat ALTERS (Lv.70 or Greater) (0/300) | First Clear: Monotite x40 Dualomite x40 Trinite x40 Photon Chunk x40 Second Clear: N-EX-Cube x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTERS in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [6] ] Recommended Sector: Vanford Laboratory Ruins (Rank 5 or higher)
Aelio Relentless Training 2-II | Defeat Banehogs (Lv.70 or Greater) (0/30) Defeat Balrog Guns (Lv.70 or Greater) (0/30) Defeat Arnz (Lv.70 or Greater) (0/30) | First Clear: Tetracite x40 Pentalite x40 Hexakite x40 Photon Quartz x40 Second Clear: C/Daityl Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [7] ] Recommended Sector: Vanford Laboratory Ruins (Rank 5 or higher)
Aelio Relentless Training 2-III | Defeat DOLLS Megalotix (Lv.70 or Greater) (0/100) | First Clear: Arms Refiner x10 Arms Refiner II x5 Second Clear: C/Pettas Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [8] ] Recommended Sector: Vanford Laboratory Ruins (Rank 5 or higher)
Aelio Relentless Training 2-IV | Defeat Boss Enemies (Lv.70 or Greater) in the Vanford Laboratory Ruins (0/20) | First Clear: C/Eradi Soul IV x10 C/Vardi Soul IV x10 C/Aegis Soul IV x10 Second Clear: C/Nex Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [9] ] Recommended Sector: Vanford Laboratory Ruins (Rank 5 or higher)
Aelio Relentless Training 2-V | Defeat Raveeds (Lv.70 or greater) (0/3) | First Clear: 50 Star Gems Second Clear: Special Scratch Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Starless in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [10] ] Recommended Sector: Vanford Laboratory Ruins (Rank 5 or higher)
Aelio Relentless Training 3-I | Defeat DOLLS (Lv.70 or Greater) (0/300) | First Clear: C/Mastery IV x10 Second Clear: Arms Refiner x4 Arms Refiner II x2 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [11] ] Recommended Sector: Resol Forest (Rank 4 or higher)
Aelio Relentless Training 3-II | Defeat Dotts (Lv.70 or Greater) (0/30) Defeat Marionesses (Lv.70 or Greater) (0/30) Defeat Balrog Swords (Lv.70 or Greater) (0/30) | First Clear: Photon Chunk IIA x40 Photon Chunk IIB x40 Second Clear: C/Alts Secreta IV x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [12] ] Recommended Sector: Resol Forest (Rank 4 or higher)
Aelio Relentless Training 3-III | Defeat Starless (Lv.70 or Greater) (0/100) | First Clear: N-Augmentation Success Rate +25% x1 N-Enhancement Success Rate +100% x1 N-Rare Drop Rate +25% x1 Second Clear: C/Aegis Soul IV x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Starless in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [13] ] Recommended Sector: Resol Forest (Rank 4 or higher)
Aelio Relentless Training 3-IV | Defeat Boss Enemies (Lv.70 or Greater) in Resol Forest (0/20) | First Clear: Special Scratch Ticket x10 Second Clear: Photon Chunk IIA x15 Photon Chunk IIB x15 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [14] ] Recommended Sector: Resol Forest (Rank 4 or higher)
Aelio Relentless Training 3-V | Defeat Rasetsu (Lv.70 or greater) (0/3) | First Clear: 100 Star Gems Second Clear: Special Scratch Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Starless in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [15] ] Recommended Sector: Resol Forest (Rank 4 or higher)

=== Stia Relentless Training ===
The following tasks become available when the player has unlocked Neusen Plant in the Stia region.
Ronaldine's Looping Tasks (Stia)
Task Name | Objectives | Rewards | Description
Stia Relentless Training 1-I | Defeat ALTERS units (Lv.65 or greater) (0/300) | First Clear: N-EX-Cube x2 Second Clear: C/Stira Note A x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTERS units in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [16] ] Recommended Sector: Dext Base
Stia Relentless Training 1-II | Defeat Nordeeran Lores (Lv.65 or greater) (0/20) Defeat Fodran Lores (Lv.65 or greater) (0/20) | First Clear: Strugment A x10 Second Clear: C/Stira Note B x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing FORMERS units in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [17] ] Recommended Sector: Dext Base
Stia Relentless Training 1-III | Defeat ALTERS boss enemies (Lv.65 or greater) (0/10) | First Clear: Strugment B x10 Second Clear: C/Stira Note C x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [18] ] Recommended Sector: Dext Base
Stia Relentless Training 1-IV | Defeat a Dusklon (Lv.65 or greater) (0/1) Defeat a Duskdi Scythe (Lv.65 or greater) (0/1) Defeat a Dusk Snapper (Lv.65 or greater) (0/1) | First Clear: Strugment C x10 Second Clear: C/Stira Note D x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [19] ] Recommended Sector: Dext Base
Stia Relentless Training 1-V | Defeat a Veteran Blazentos (0/1) Defeat a Veteran Duskdi Scythe (0/1) Defeat a Veteran Volt Lemnas (0/1) | First Clear: C/Freid Soul IV x10 Second Clear: Rich Stia Hermit Crab x5 Light Stia Sea Slug x5 Crisp Stia Octopus x5 Robust Stia Turban Shell x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Dread Enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [20] ] Recommended Sector: Stia Outskirts
Stia Relentless Training 1-VI | Defeat DOLLS units (Lv.65 or greater) (0/) | First Clear: C/Doldor Soul IV x10 Second Clear: Rich Stia Banana x5 Light Stia Apple x5 Crisp Stia Mango x5 Robust Stia Plum x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS units in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [21] ] Recommended Sector: Neusen Plant
Stia Relentless Training 1-VII | Defeat DOLLS Megalotix (Lv.65 or greater) (0/30) | First Clear: C/Nils Soul IV x10 Second Clear: C/Deft Might x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [22] ] Recommended Sector: Neusen Plant
Stia Relentless Training 1-VIII | Defeat DOLLS boss enemies (Lv.65 or greater) (0/10) | First Clear: Silver Primm Armor +20 x1 Second Clear: C/Deft Precision x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [23] ] Recommended Sector: Neusen Plant
Stia Relentless Training 1-IX | Defeat Megalotix boss enemies (Lv.65 or greater) (0/10) | First Clear: B-Trigger/Common Yellow x15 Second Clear: C/Deft Technique x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [24] ] Recommended Sectors: Dext Base , Neusen Plant
Stia Relentless Training 1-X | Defeat a Veteran Flamedyl Sword (0/1) Defeat a Veteran Dark Magilz (0/1) Defeat a Veteran Engouku (0/1) | First Clear: 50 Star Gems Second Clear: B-Trigger/Common Yellow x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Dread Enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [25] ] Recommended Sector: Dreisen Plant
Stia Relentless Training 2-I | Defeat FORMERS units (Lv.65 or greater) (0/300) | First Clear: B-Trigger/Common Purple x15 Second Clear: Strugment A x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing FORMERS units in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [26] ] Recommended Sector: Dext Base
Stia Relentless Training 2-II | Defeat Bigar Clores (Lv.65 or greater) at night (0/10) Defeat Krisnukls (Lv.65 or greater) at night (0/10) Defeat Mag Heads (Lv.65 or greater) at night (0/10) | First Clear: Monotite x40 Dualomite x40 Trinite x40 Photon Chunk x40 Second Clear: Strugment B x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTERS units at night in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [27] ] Recommended Sector: Dext Base
